brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids,title,description,image,reference
Mrs. Barr's Natural Foods,Granola,551f21db5b98dbc23e884f1f,5560c0d438f506317c2e1991,858000000000.0,2,,,130,60.0,7.0,0.5,0.0,,,0.0,20,15.0,2.0,7.0,2.0,2.0,0.0,2.0,4.0,,12.0,0.25,cup,28.0,28.0,g,https://d1r9wva3zcpswd.cloudfront.net/5560c0cea323292b0f6ea976.jpeg,2015-05-23T18:02:55+00:00,,Mrs. Barr's Natural Foods,28.0g,https://d1r9wva3zcpswd.cloudfront.net/5560c0cea323292b0f6ea976.jpeg,Mrs. Barr's Natural Foods 28.0g
Giant,French Artisan Rolls,51db37b0176fe9790a8983ef,555108a67ce194cc23122f52,688000000000.0,2,,,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,28.0,1.0,0.0,4.0,0.0,0.0,0.0,10.0,,8.0,1.0,roll,51.0,51.0,g,https://d1r9wva3zcpswd.cloudfront.net/555109aefbe9f142769305cc.jpeg,2015-05-11T19:57:35+00:00,,Giant,51.0g,https://d1r9wva3zcpswd.cloudfront.net/555109aefbe9f142769305cc.jpeg,Giant 51.0g
Sprouts Farmers Market,Kalamata Olive,5451514867447cde17be5fd8,55a2794049b57637569e529a,657000000000.0,2,,,150,25.0,3.0,0.0,0.0,,,0.0,330,26.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,,7.0,57.0,g,57.0,57.0,g,https://d1r9wva3zcpswd.cloudfront.net/55a27b32b5320f704f7156ea.jpeg,2015-07-12T14:35:30+00:00,,Sprouts Farmers Market,57.0g,https://d1r9wva3zcpswd.cloudfront.net/55a27b32b5320f704f7156ea.jpeg,Sprouts Farmers Market 57.0g
Yummy Earth,"Gummy Bears, Organic",51db37be176fe9790a898ee4,51c3ede297c3e6de73cbb4ee,10165014101.0,2,Organic,"Organic Rice Syrup, Organic Cane Sugar, Gelatin, Organic Aronia Juice, Organic Black Currant Juice, Natural Flavor, Citric Acid, Ascorbic Acid, Carnauba Wax, Organic Sunflower Oil. Gluten free.",96,0.0,0.0,0.0,0.0,,,0.0,0,21.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,5.0,11.0,bears,28.0,28.0,g,,2014-11-24T20:24:24+00:00,,Yummy Earth,28.0g,,Yummy Earth 28.0g
Nasoya,"Vegi-Dressing, Creamy Dill",51db37cb176fe9790a89987f,51c36afc97c3e69de4b07667,25484000537.0,2,Creamy Dill,"Soymilk (Water, Organic Soybeans), Sunflower and/or Soybean Oil, Cane Juice (Dried), Vinegar,Salt, Xanthan Gum, Garlic Powder, Onion Powder, Lemon Juice Concentrate, Spices, Spinach (Dried), Natural Flavor.",70,60.0,7.0,0.0,,,,0.0,140,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,11.0,2.0,tbsp,30.0,30.0,g,,2014-11-24T20:24:24+00:00,,Nasoya,30.0g,,Nasoya 30.0g
Lea & Perrins,"Marinade in A Bag, Cracked Peppercorn",51db37b9176fe9790a898c1b,51c3bd1b97c3e6d8d3b47491,51600080015.0,2,Cracked Peppercorn,"Distilled White Vinegar, High Fructose Corn Syrup, Water, Lea and Perrins Worcestershire Sauce (Distilled White Vinegar Molasses, Sugar, Water, Salt, Onions, Anchovies Garlic, Cloves, Tamarind Extract, Natural Flavorings, Chili Pepper Extract), Molasses, Black and White Pepper, Dehydrated Garlic, Salt, Modified Cornstarch, Dehydrated Roasted Garlic, Xanthan Gum, Garlic Powder, Dehydrated Onion, Caramel Color, Onion Powder, Citric Acid, Sodium Benzoate and Potassium Sorbate Added as Preservatives, Soybean Oil, Mono- and Diglycerides, Soy Lecithin, Garlic Extract.",15,0.0,0.0,0.0,0.0,,,0.0,150,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,,21.0,1.0,tbsp,16.0,16.0,g,https://d1r9wva3zcpswd.cloudfront.net/536ad9b6c3cba98a306b0044.jpeg,2014-11-24T20:24:24+00:00,,Lea & Perrins,16.0g,https://d1r9wva3zcpswd.cloudfront.net/536ad9b6c3cba98a306b0044.jpeg,Lea & Perrins 16.0g
Tolerex,"Maintenance Elemental Diet, Unflavored Powder",51db37c9176fe9790a89965a,51c3c98597c3e6d8d3b4d345,43900458052.0,2,Unflavored Powder,"Maltodextrin (Corn), Magnesium Gluconate, L-Glutamine, Calcium Glycerophosphate, L-Arginine Acetate, Food Starch Modified (Corn), L-Aspartic Acid, Glycine, L-Lysine Acetate, L-Leucine, Safflower Oil, Potassium Chloride, L-Proline, L-Phenylalanine, L-Valine, L-Alanine, L-Methionine, L-Threonine, L-Isoleucine, Sodium Phosphate Dibasic, L-Serine, Potassium Sorbate, Potassium Citrate, L-Histidine Monohydrochloride Monohydrate, Sodium Citrate, L-Tryptophan, L-Tyrosine, Choline Bitartrate, Polyoxyethylene Sorbitan Monooleate, Ascorbic Acid, Ferrous Sulfate, Alpha Tocopheryl Acetate, Zinc Sulfate, Niacinamide, Copper Gluconate, Calcium Pantothenate, Manganese Sulfate, Ascorbyl Palmitate (to Preserve Freshness), Vitamin A Palmitate, Alpha Tocopherol (to Preserve Freshness), Pyridoxine Hydrochloride, Riboflavin, Thiamine Hydrochloride, Chromic Acetate, Folic Acid, BHA/BHT (to Preserve Freshness), Biotin, Potassium Iodide, Sodium Molybdate, Sodium Selenite, Phytonadione (Vitamin K1), Cholecalciferol (Vitamin D3), Cyanocobalamin (Vitamin B12).",375,0.0,0.0,,,,,,176,85.0,,,8.0,21.0,21.0,21.0,21.0,,,100.0,g,100.0,100.0,g,,2014-11-24T20:24:24+00:00,,Tolerex,100.0g,,Tolerex 100.0g
Great Value,Beef Burgers,51db37b1176fe9790a898466,5541df0bf796046c4f223b8e,78742088679.0,2,,,290,200.0,23.0,9.0,2.0,0.5,10.0,90.0,85,0.0,0.0,0.0,19.0,0.0,0.0,2.0,10.0,,8.0,1.0,burger,113.0,113.0,g,https://d1r9wva3zcpswd.cloudfront.net/5541dfcaf425da534fbf6038.jpeg,2015-04-30T13:49:40+00:00,,Great Value,113.0g,https://d1r9wva3zcpswd.cloudfront.net/5541dfcaf425da534fbf6038.jpeg,Great Value 113.0g
Profile,Sweet Strawberry Smoothie,546a09b186f80d902a7c084f,54f5b6c66d947d10506cf2b1,811000000000.0,2,,,100,10.0,1.0,0.0,0.0,,,2.5,170,7.0,0.0,5.0,15.0,,,,,,7.0,1.0,packet,27.0,27.0,g,https://d1r9wva3zcpswd.cloudfront.net/54f5b92ce8ca68af0ad74b3c.jpeg,2015-03-03T13:37:48+00:00,,Profile,27.0g,https://d1r9wva3zcpswd.cloudfront.net/54f5b92ce8ca68af0ad74b3c.jpeg,Profile 27.0g
Marie Callender's Grocery,Lattice Apple Pie,52ceb0f8bba524e0680000b8,51d37ba7cc9bff5553aaa33d,613000000000.0,2,,"Filling: Apples, Water, Sugar, Modified Food Starch, Salt, Spice, Citric Acid. Crust: Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Vegetable Shortening (Partially Hydrogenated Soybean Oil), Water, Dextrose, Salt, Sodium Metabisulfite. Sugar Topping: Sugar.",330,160.0,18.0,4.0,,,,0.0,160,42.0,2.0,22.0,2.0,0.0,4.0,0.0,6.0,,10.0,0.1,pie,130.0,130.0,g,,2014-11-24T20:24:24+00:00,,Marie Callender's Grocery,130.0g,,Marie Callender's Grocery 130.0g
